data/id,data/name,data/price,data/g3d,data/g2d,data/value,data/tdp,data/powerPerf,data/date,data/cat,data/bus,data/memSize,data/coreClk,data/memClk,data/rank,data/samples,data/href,data/output
2879,Radeon HD 7660D + HD 7000 Dual,NA,634,465,NA,NA,NA,May 2014,Unknown,NA,NA,NA,NA,1104,2,Radeon+HD+7660D+%2B+HD+7000+Dual&amp;id=2879,true
3307,Radeon HD 7660D + HD 7400 Dual,NA,340,448,NA,NA,NA,Sep 2015,Unknown,NA,NA,NA,NA,1413,1,Radeon+HD+7660D+%2B+HD+7400+Dual&amp;id=3307,true
3335,Radeon HD 7660D + HD 7700 Dual,NA,"1,958",495,NA,NA,NA,Oct 2015,Unknown,NA,NA,NA,NA,515,3,Radeon+HD+7660D+%2B+HD+7700+Dual&amp;id=3335,true
3687,Radeon HD 7660D + R5 235 Dual,NA,524,386,NA,NA,NA,Feb 2017,Unknown,NA,NA,NA,NA,1239,1,Radeon+HD+7660D+%2B+R5+235+Dual&amp;id=3687,true
3163,Radeon HD 7660D + R7 240 Dual,NA,942,453,NA,NA,NA,Mar 2015,Unknown,NA,NA,NA,NA,839,2,Radeon+HD+7660D+%2B+R7+240+Dual&amp;id=3163,true
316,Radeon HD 7660G,NA,479,130,NA,NA,NA,Jun 2012,Unknown,NA,NA,NA,NA,1286,666,Radeon+HD+7660G&amp;id=316,true
2367,Radeon HD 7660G + 7400M Dual,NA,588,326,NA,NA,NA,Jan 2013,Unknown,NA,NA,NA,NA,1160,2,Radeon+HD+7660G+%2B+7400M+Dual&amp;id=2367,true
317,Radeon HD 7660G + 7470M Dual,NA,631,351,NA,NA,NA,Aug 2012,Unknown,NA,NA,NA,NA,1107,7,Radeon+HD+7660G+%2B+7470M+Dual&amp;id=317,true
2233,Radeon HD 7660G + 7600M Dual,NA,832,341,NA,NA,NA,Oct 2012,Unknown,NA,NA,NA,NA,914,55,Radeon+HD+7660G+%2B+7600M+Dual&amp;id=2233,true
2335,Radeon HD 7660G + 7610M Dual,NA,746,323,NA,NA,NA,Dec 2012,Unknown,NA,NA,NA,NA,993,16,Radeon+HD+7660G+%2B+7610M+Dual&amp;id=2335,true
318,Radeon HD 7660G + 7670M Dual,NA,743,347,NA,NA,NA,Jun 2012,Unknown,NA,NA,NA,NA,995,96,Radeon+HD+7660G+%2B+7670M+Dual&amp;id=318,true
2409,Radeon HD 7660G + 7700M Dual,NA,757,311,NA,NA,NA,Aug 2013,Unknown,NA,NA,NA,NA,979,5,Radeon+HD+7660G+%2B+7700M+Dual&amp;id=2409,true
2779,Radeon HD 7660G + 7730M Dual,NA,931,392,NA,NA,NA,Jan 2014,Unknown,NA,NA,NA,NA,844,2,Radeon+HD+7660G+%2B+7730M+Dual&amp;id=2779,true
2837,Radeon HD 7660G + 8600M Dual,NA,446,360,NA,NA,NA,Mar 2014,Unknown,NA,NA,NA,NA,1324,3,Radeon+HD+7660G+%2B+8600M+Dual&amp;id=2837,true
2839,Radeon HD 7660G + 8670M Dual,NA,588,333,NA,NA,NA,Mar 2014,Unknown,NA,NA,NA,NA,1162,7,Radeon+HD+7660G+%2B+8670M+Dual&amp;id=2839,true
2861,Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,NA,"1,002",347,NA,NA,NA,Apr 2014,Unknown,NA,NA,NA,NA,797,1,Radeon+HD+7660G+%2B+HD+7500%2F7600+7500%2F7600+Dual&amp;id=2861,true
3570,Radeon HD 7660G + HD 7500/7600 Dual,NA,760,369,NA,NA,NA,Sep 2016,Unknown,NA,NA,NA,NA,975,1,Radeon+HD+7660G+%2B+HD+7500%2F7600+Dual&amp;id=3570,true
3488,Radeon HD 7660G + HD 7500M/7600M Dual,NA,999,323,NA,NA,NA,Apr 2016,Unknown,NA,NA,NA,NA,800,2,Radeon+HD+7660G+%2B+HD+7500M%2F7600M+Dual&amp;id=3488,true
2864,Radeon HD 7660G + HD 7600M Dual,NA,616,116,NA,NA,NA,Apr 2014,Unknown,NA,NA,NA,NA,1130,103,Radeon+HD+7660G+%2B+HD+7600M+Dual&amp;id=2864,true
2901,Radeon HD 7660G + HD 7600M N HD 7600M Dual,NA,460,297,NA,NA,NA,Jul 2014,Unknown,NA,NA,NA,NA,1310,1,Radeon+HD+7660G+%2B+HD+7600M+N+HD+7600M+Dual&amp;id=2901,true
2794,Radeon HD 7660G + HD 7670M Dual,NA,707,317,NA,NA,NA,Jan 2014,Unknown,NA,NA,NA,NA,1031,17,Radeon+HD+7660G+%2B+HD+7670M+Dual&amp;id=2794,true
2988,Radeon HD 7660G + HD 7700M Dual,NA,777,168,NA,NA,NA,Oct 2014,Unknown,NA,NA,NA,NA,954,12,Radeon+HD+7660G+%2B+HD+7700M+Dual&amp;id=2988,true
3433,Radeon HD 7660G + HD 7730M Dual,NA,882,329,NA,NA,NA,Feb 2016,Unknown,NA,NA,NA,NA,879,3,Radeon+HD+7660G+%2B+HD+7730M+Dual&amp;id=3433,true
2943,Radeon HD 7660G + HD 8500M Dual,NA,758,355,NA,NA,NA,Sep 2014,Unknown,NA,NA,NA,NA,976,1,Radeon+HD+7660G+%2B+HD+8500M+Dual&amp;id=2943,true
3514,Radeon HD 7660G + HD 8600/8700M Dual,NA,747,365,NA,NA,NA,Jun 2016,Unknown,NA,NA,NA,NA,990,1,Radeon+HD+7660G+%2B+HD+8600%2F8700M+Dual&amp;id=3514,true
3507,Radeon HD 7660G + HD 8600M Dual,NA,364,337,NA,NA,NA,May 2016,Unknown,NA,NA,NA,NA,1396,1,Radeon+HD+7660G+%2B+HD+8600M+Dual&amp;id=3507,true
3390,Radeon HD 7660G + HD 8670M Dual,NA,711,325,NA,NA,NA,Dec 2015,Unknown,NA,NA,NA,NA,1027,5,Radeon+HD+7660G+%2B+HD+8670M+Dual&amp;id=3390,true
